class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21
OpenHand,0.6279553771018982,0.4654019176959991,1.6541652314572278e-07,0.0,0.575170636177063,0.4670923054218292,-0.0157021265476942,0.0,0.5250017046928406,0.4559538066387176,-0.0238167513161897,0.0,0.4872555136680603,0.4439510107040405,-0.0317925736308097,0.0,0.4611318111419678,0.4313779473304748,-0.0390865430235862,0.0,0.526289165019989,0.405987948179245,-0.0030205415096133,0.0,0.4913917779922485,0.3819532990455627,-0.014399105682969,0.0,0.4702402949333191,0.3681342601776123,-0.0271246470510959,0.0,0.4541263580322265,0.3547069430351257,-0.0371840186417102,0.0,0.5500853061676025,0.394837349653244,-0.0068653435446321,0.0,0.5148953795433044,0.366336315870285,-0.0132633931934833,0.0,0.4936957955360412,0.349132627248764,-0.0224517863243818,0.0,0.4762850999832153,0.3349020481109619,-0.0306289158761501,0.0,0.5787210464477539,0.3896858990192413,-0.0143068321049213,0.0,0.5520799160003662,0.3609974384307861,-0.0206658244132995,0.0,0.5353686809539795,0.3434974551200866,-0.0263517796993255,0.0,0.5193171501159668,0.3282426595687866,-0.0321163050830364,0.0,0.6107984781265259,0.3898296654224396,-0.024227937683463,0.0,0.592422366142273,0.3668937087059021,-0.0304329544305801,0.0,0.5798785090446472,0.3525494039058685,-0.0324699394404888,0.0,0.5675455927848816,0.3392852544784546,-0.0346493422985076,0.0
OpenHand,0.6392329931259155,0.4618759155273437,1.964549625199652e-07,0.0,0.5846983194351196,0.461867094039917,-0.016565540805459,0.0,0.5348613858222961,0.4506328999996185,-0.0253339726477861,0.0,0.4970328211784363,0.4384191036224365,-0.0341194197535514,0.0,0.4714094400405884,0.4247060120105743,-0.0422419160604476,0.0,0.5415847897529602,0.4019194841384887,-0.0036516753025352,0.0,0.5071436166763306,0.3766310811042785,-0.0160210076719522,0.0,0.4868063330650329,0.3620339930057525,-0.0290351286530494,0.0,0.4711147546768188,0.3476996719837188,-0.039236981421709,0.0,0.5665184855461121,0.3913574814796448,-0.0078639537096023,0.0,0.5344581007957458,0.3613878488540649,-0.0154737215489149,0.0,0.5158044695854187,0.3428411483764648,-0.0250161122530698,0.0,0.5011360049247742,0.3276441097259521,-0.0334544368088245,0.0,0.5952047109603882,0.3868929147720337,-0.0159282889217138,0.0,0.5699089765548706,0.3576986193656921,-0.0234653018414974,0.0,0.5547117590904236,0.339665800333023,-0.0289882812649011,0.0,0.5401074290275574,0.3241815268993377,-0.034556608647108,0.0,0.6271299719810486,0.3873336315155029,-0.0266603231430053,0.0,0.6093499064445496,0.364466518163681,-0.0341103710234165,0.0,0.5968198776245117,0.3494814932346344,-0.0364499986171722,0.0,0.5841351747512817,0.335736334323883,-0.0388119220733642,0.0
OpenHand,0.6431152820587158,0.460036963224411,2.086914179244559e-07,0.0,0.587442934513092,0.4603323340415954,-0.0170178301632404,0.0,0.538492739200592,0.4496479630470276,-0.0271044392138719,0.0,0.5009610652923584,0.4374929666519165,-0.0369128286838531,0.0,0.4754995703697204,0.422842800617218,-0.0459970459342002,0.0,0.544265866279602,0.3999197483062744,-0.006540423259139,0.0,0.51018887758255,0.3743379414081573,-0.0201697815209627,0.0,0.4899481236934662,0.3595070838928222,-0.0341034531593322,0.0,0.4746171534061432,0.3449502289295196,-0.0448683463037014,0.0,0.569223940372467,0.3891136348247528,-0.0101698748767375,0.0,0.5379482507705688,0.3596881926059723,-0.0185697991400957,0.0,0.5190497040748596,0.3415684103965759,-0.0287704747170209,0.0,0.5034381151199341,0.3264750838279724,-0.0377507619559764,0.0,0.5983101725578308,0.3845484554767608,-0.0173841025680303,0.0,0.5745934844017029,0.3551373183727264,-0.0251062978059053,0.0,0.5598035454750061,0.3374237418174743,-0.0307380370795726,0.0,0.5451845526695251,0.3222039341926574,-0.0365161672234535,0.0,0.6304153203964233,0.3852671682834625,-0.0271481703966856,0.0,0.6145192980766296,0.3623191118240356,-0.0347877293825149,0.0,0.6026415824890137,0.347598522901535,-0.0372209064662456,0.0,0.5908026695251465,0.3338490724563598,-0.0395549125969409,0.0
OpenHand,0.6590087413787842,0.4550378024578094,1.9657605321299346e-07,0.0,0.6049878597259521,0.4532385766506195,-0.0165799558162689,0.0,0.5572024583816528,0.4408356845378876,-0.0247518438845872,0.0,0.5202499032020569,0.4273985922336578,-0.0328967273235321,0.0,0.4971502423286438,0.4117111563682556,-0.0402669720351696,0.0,0.5682461857795715,0.3919780254364013,-0.0012425988679751,0.0,0.5379619002342224,0.366932064294815,-0.0129840970039367,0.0,0.5211869478225708,0.352629542350769,-0.0256310999393463,0.0,0.5087944269180298,0.3381430506706238,-0.0355927869677543,0.0,0.594126284122467,0.3818597197532654,-0.0046608578413724,0.0,0.5664680600166321,0.3512860536575317,-0.0117854317650198,0.0,0.5507031083106995,0.3327561020851135,-0.0210857726633548,0.0,0.5380427241325378,0.3172026872634887,-0.0292020738124847,0.0,0.6229583024978638,0.3781008124351501,-0.0120163531973958,0.0,0.6023454070091248,0.3490279614925384,-0.0194515977054834,0.0,0.5907008647918701,0.3307904601097107,-0.0249641388654708,0.0,0.5785606503486633,0.3149845600128174,-0.0303682219237089,0.0,0.6541964411735535,0.3795838057994842,-0.0219681374728679,0.0,0.64149010181427,0.3567924201488495,-0.0288604777306318,0.0,0.6321427226066589,0.3420248925685882,-0.0309733729809522,0.0,0.6216098070144653,0.3284856677055359,-0.0332169160246849,0.0
OpenHand,0.6844445466995239,0.4505916833877563,1.7960988429877037e-07,0.0,0.6305671334266663,0.4447372257709503,-0.016280336305499,0.0,0.5846130847930908,0.42929607629776,-0.0243964046239852,0.0,0.5522239804267883,0.4137074649333954,-0.0323551967740058,0.0,0.5328613519668579,0.3966151773929596,-0.0394394025206565,0.0,0.6052646040916443,0.3820108771324157,-0.0030320684891194,0.0,0.5786945223808289,0.355003297328949,-0.0158536694943904,0.0,0.5632460713386536,0.3395603597164154,-0.0284502021968364,0.0,0.5527037978172302,0.3247645795345306,-0.0381599068641662,0.0,0.6330443024635315,0.3733662366867065,-0.007272170856595,0.0,0.6088935136795044,0.342291921377182,-0.0165036786347627,0.0,0.5953106880187988,0.3225714862346649,-0.026669941842556,0.0,0.58476722240448,0.3056567907333374,-0.034913919866085,0.0,0.6626559495925903,0.3711704313755035,-0.0153511175885796,0.0,0.6455451846122742,0.3414022326469421,-0.0251921713352203,0.0,0.6370319724082947,0.3225584030151367,-0.0314946919679641,0.0,0.6283106803894043,0.3058852553367615,-0.0368494056165218,0.0,0.6941022276878357,0.374028205871582,-0.0257889181375503,0.0,0.6836304664611816,0.3504836857318878,-0.0342016443610191,0.0,0.6767730116844177,0.3351631164550781,-0.0363474078476429,0.0,0.6690565943717957,0.3209888935089111,-0.0382765978574752,0.0
OpenHand,0.7148740291595459,0.4432625472545624,2.1081974921344226e-07,0.0,0.6608592867851257,0.4363239407539367,-0.0193637255579233,0.0,0.6164661645889282,0.4193791151046753,-0.0290295798331499,0.0,0.5831940174102783,0.4026855230331421,-0.037941038608551,0.0,0.5653017163276672,0.3846035301685333,-0.0457111708819866,0.0,0.6417039632797241,0.3734703958034515,-0.0052931490354239,0.0,0.6190705299377441,0.3450859487056732,-0.0186247173696756,0.0,0.6065757274627686,0.3287164568901062,-0.0317241847515106,0.0,0.5990436673164368,0.3131656050682068,-0.0416463762521743,0.0,0.6706949472427368,0.3659704923629761,-0.007602578960359,0.0,0.6513411402702332,0.3332270085811615,-0.0158456936478614,0.0,0.6411048769950867,0.3131163418292999,-0.0253563877195119,0.0,0.6334036588668823,0.2961520254611969,-0.033426146954298,0.0,0.7006919980049133,0.3651439249515533,-0.0140412356704473,0.0,0.6875264048576355,0.3341825902462005,-0.0223296880722045,0.0,0.6811001896858215,0.3150607943534851,-0.0281998049467802,0.0,0.674518346786499,0.298162430524826,-0.0337540730834007,0.0,0.731869101524353,0.3693485856056213,-0.0232261344790458,0.0,0.7247304916381836,0.3459592461585998,-0.0306311082094907,0.0,0.7193992137908936,0.3306761384010315,-0.0329893343150615,0.0,0.7134436368942261,0.3163565397262573,-0.03533735871315,0.0
OpenHand,0.7324684858322144,0.4388729333877563,2.1435999997265759e-07,0.0,0.6787834763526917,0.4300095438957214,-0.0165998619049787,0.0,0.6379925608634949,0.4118896722793579,-0.0247552599757909,0.0,0.6066162586212158,0.395022302865982,-0.0328041054308414,0.0,0.5885368585586548,0.3779130578041076,-0.0400694720447063,0.0,0.6658318638801575,0.3675553202629089,-0.0020639370195567,0.0,0.6451495289802551,0.3390052616596222,-0.0141943953931331,0.0,0.6342295408248901,0.322461724281311,-0.0266609080135822,0.0,0.627692461013794,0.3069209456443786,-0.0361394807696342,0.0,0.6951720714569092,0.3609153926372528,-0.0051723639480769,0.0,0.6796944737434387,0.3280369639396667,-0.0124499667435884,0.0,0.6716088652610779,0.3079917728900909,-0.0216738320887088,0.0,0.665651261806488,0.2913634479045868,-0.0294738486409187,0.0,0.7248985171318054,0.3608291745185852,-0.012088063172996,0.0,0.7160756587982178,0.330195665359497,-0.0193667653948068,0.0,0.7119564414024353,0.3113466799259186,-0.0245054326951503,0.0,0.7068780660629272,0.2947205305099487,-0.0295216534286737,0.0,0.7548725008964539,0.3662064671516418,-0.0215385910123586,0.0,0.7512249946594238,0.343386173248291,-0.0280780885368585,0.0,0.7478479146957397,0.3283936679363251,-0.0295662283897399,0.0,0.7440049052238464,0.3141586482524872,-0.031202383339405,0.0
OpenHand,0.7458401322364807,0.4351332783699035,2.363423874385262e-07,0.0,0.6932228207588196,0.4250747263431549,-0.0186036080121994,0.0,0.6542023420333862,0.4066252708435058,-0.0280009377747774,0.0,0.621868908405304,0.3889280259609222,-0.0369802564382553,0.0,0.6070985198020935,0.3706693053245544,-0.0446780622005462,0.0,0.6834344863891602,0.3636535406112671,-0.001225211773999,0.0,0.6649481654167175,0.3345348536968231,-0.0129713807255029,0.0,0.6558120846748352,0.3180389404296875,-0.02535205706954,0.0,0.6511248350143433,0.3027646839618683,-0.0347425602376461,0.0,0.7131328582763672,0.3575489819049835,-0.0030881862621754,0.0,0.6997483968734741,0.324667751789093,-0.0095488466322422,0.0,0.693392276763916,0.3051110506057739,-0.0183240734040737,0.0,0.68851238489151,0.2892923057079315,-0.025854492560029,0.0,0.7430040240287781,0.3579939007759094,-0.0091525735333561,0.0,0.735975444316864,0.3278830647468567,-0.0156364776194095,0.0,0.7327708601951599,0.3095015287399292,-0.0201388299465179,0.0,0.7286911010742188,0.2934314310550689,-0.0247385632246732,0.0,0.7730767130851746,0.3639089167118072,-0.0180131644010543,0.0,0.7705512642860413,0.3413199484348297,-0.0239397641271352,0.0,0.7681520581245422,0.3265883922576904,-0.0250846166163682,0.0,0.7656776905059814,0.3125873208045959,-0.0264321528375148,0.0
OpenHand,0.7628968358039856,0.4320505559444427,2.393053364357911e-07,0.0,0.7115054726600647,0.4215496182441711,-0.0193204153329134,0.0,0.673240065574646,0.4019194543361664,-0.0293337199836969,0.0,0.6436495780944824,0.3827165961265564,-0.0385871827602386,0.0,0.6324400901794434,0.3637503981590271,-0.0466932170093059,0.0,0.7063826322555542,0.3593981564044952,-0.0053034024313092,0.0,0.6911994814872742,0.3298119902610779,-0.0184946320950984,0.0,0.6834161877632141,0.3128906786441803,-0.0314761362969875,0.0,0.6797259449958801,0.2971725761890411,-0.0410847924649715,0.0,0.7367258071899414,0.3540897369384765,-0.0068083778023719,0.0,0.7273799777030945,0.3207558691501617,-0.014469152316451,0.0,0.7228916883468628,0.3005277216434479,-0.0234207976609468,0.0,0.7193305492401123,0.2836939692497253,-0.0308922622352838,0.0,0.7665139436721802,0.3554058670997619,-0.0122411958873271,0.0,0.7631706595420837,0.3251108229160309,-0.0196052528917789,0.0,0.7631308436393738,0.3066816329956054,-0.0241194330155849,0.0,0.7610630393028259,0.2905682325363159,-0.0284183342009782,0.0,0.7957944273948669,0.3620600700378418,-0.0204047076404094,0.0,0.7961717844009399,0.3390836119651794,-0.0265922360122203,0.0,0.795819878578186,0.3245124816894531,-0.027448583394289,0.0,0.7946750521659851,0.310961365699768,-0.0284159630537033,0.0
OpenHand,0.761630117893219,0.4322450160980224,2.170779112020682e-07,0.0,0.7087989449501038,0.4215938448905945,-0.0162284113466739,0.0,0.6695579886436462,0.4012108445167541,-0.0240428782999515,0.0,0.6423967480659485,0.3821175098419189,-0.0314413793385028,0.0,0.6303672194480896,0.3634155690670013,-0.0378977097570896,0.0,0.70657879114151,0.3594136238098144,-0.002201277995482,0.0,0.6916122436523438,0.3299141526222229,-0.0139831472188234,0.0,0.6835634708404541,0.3130010664463043,-0.026371706277132,0.0,0.6795505285263062,0.2974312305450439,-0.0357905253767967,0.0,0.7376111149787903,0.3540611863136291,-0.0052552833221852,0.0,0.7281866669654846,0.3212121725082397,-0.0118926838040351,0.0,0.7232452034950256,0.3008325695991516,-0.0208450909703969,0.0,0.7196128964424133,0.2838842868804931,-0.0286178477108478,0.0,0.7678332328796387,0.3554218113422394,-0.0120924776419997,0.0,0.7645028829574585,0.3246757388114929,-0.0188068952411413,0.0,0.7628539204597473,0.3065005838871002,-0.0236037597060203,0.0,0.7599060535430908,0.2904310822486877,-0.0284490156918764,0.0,0.7972622513771057,0.3621784448623657,-0.0213597510010004,0.0,0.7971862554550171,0.3392429947853088,-0.027802113443613,0.0,0.7962275743484497,0.3243391811847687,-0.0292061436921358,0.0,0.7952390313148499,0.3099860548973083,-0.0306830033659935,0.0
